Author,Title,Edition/Printing,"# Copies",HB/PB,ISBN,Section,Year
"Abbott, Andrew","Methods of Discovery",1,1,PB,393978141,,2012S
"Abbott, Stephen","Understanding Analysis",,1,HB,387950605,,2012S
"Abdo, Genevieve","Mecca and Main Street",1,1,PB,195332377,,2
"Abe, Kobo","Woman in the Dunes",1,1,PB,679733787,,
Abelard,"Letters of Abelard and Heloise",7,1,PB,140448993,,3
"Abraham, Laurie Kaye","Mama Might Be Better Off Dead",9,1,PB,226001393,,2011S
"Abraham, Laurie Kaye","Mama Might Be Better Off Dead",8,2,PB,226001393,,2011S
"Abrams, M.H.","Glossary of Literary Terms",8,1,PB,1413002188,,
"Abrams, M.H. & Jack Stillinger & Stephen Greenblatt","Norton Anthology of English Literature Volume 2A: the Romantic Period",7,1,PB,393975681,"Literature Anthology",
"Abrams, M.H. & Stephen Greenblatt","Norton Anthology of English Literature Volume A the Middle Ages",8,4,PB,393927172,"Literature Anthology",
"Abrams, M.H. & Stephen Greenblatt","Norton Anthology of English Literature Volume I",7,4,HB,393974863,"Literature Anthology",
"Abry, Dominique & Marie-Laure Chalaron",Phonetique,,5,PB,2010205502,French,2012S
"Abu-Lughod, Lila","Writing Women's Worlds: Bedouin Stories",1,16,PB,520083040,,2011S
"Accad, Evelyne",L'Excisee,,1,PB,2858022232,French,
"Achebe, Chinua","Things Fall Apart",,5,PB,385474547,,2011S
"Acosta, Oscar Zeta","Revolt of the Cockroach People",,6,PB,679722122,,2011S
"Adams, Arlin M. & Charles J. Emmerich","Nation Dedicated to Religious Liberty",2,2,PB,812282507,,
"Adams, Julia","Familial State",,,HB,801433088,,
"Adorno, Theodor","In Search of Wagner",1,,PB,1844673445,,2012S
"Adovasio, J.M. & Jake Page","First Americans",1,2,,,,
"Aeschylus I",Oresteia,,,PB,226307786,,
"Afanas'ev, Aleksandr","Russian Fairy Tales",,,PB,394730909,,
"Agacinski, Sylviane","Parity of the Sexes",1,2,PB,231115679,,
"Agamben, Giorgio","Remnants of Auschwitz: The Witness and the Archive",1,,PB,189095117X,,
"Agee, James & Walker Evans","Let Us Now Praise Famous Men",6,,PB,618127496,,
"Agee, Jonis","Weight of Dreams",1,,PB,140291881,,
"Aguilar-San Juan, Karin","Little Saigons",1,2,PB,816654864,,2012S
"Agulhon, Maurice","Republican Experiment 1848-1952",,,PB,521289882,,
"Ahearn, Laura M.","Invitations to Love",5,,PB,472067848,,2010F
"Ahmed, Leila","Women and Gender in Islam",13,4,PB,300055838,,2012S
"Akmajian, Adrian & Richard A. Demers & Ann K. Farmer & Robert M. Harnish","Linguistics: An Introduction to Language and Communication",5,,PB,262511231,Linguistics,
"Al Faruqi, Lamya'","Women and Muslim Society in Iran",,,PB,892590688,,
